version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,Bùi Gia Uy,none (baseline),v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Baseline đo nguyên trạng starter chưa sửa prompt/tools (model gemini-3.5-flash),n/a — baseline chưa có giả thuyết,case_accuracy,,0.6,runs/v0_B_base_gemini_20260729T111216912712.json
v0,Bùi Gia Uy,none (baseline),v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Baseline đo nguyên trạng starter chưa sửa prompt/tools (model gemini-3.5-flash),n/a — baseline chưa có giả thuyết,tool_routing_accuracy,,0.65,runs/v0_B_base_gemini_20260729T111216912712.json
v0,Bùi Gia Uy,none (baseline),v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Baseline đo nguyên trạng starter chưa sửa prompt/tools (model gemini-3.5-flash),n/a — baseline chưa có giả thuyết,argument_accuracy,,0.6,runs/v0_B_base_gemini_20260729T111216912712.json
v0,Bùi Gia Uy,none (baseline),v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Baseline đo nguyên trạng starter chưa sửa prompt/tools (model gemini-3.5-flash),n/a — baseline chưa có giả thuyết,multiturn_accuracy,,1.0,runs/v0_B_base_gemini_20260729T111216912712.json
v1,Bùi Gia Uy,system_prompt.md,v1+p2df5c3a17f10+t6cdb53d5d7b8,2df5c3a17f10a54afa3b608b85a84a27485072af1d5bd054aaf55fcb40adf7a4,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Viết lại prompt theo hướng dừng-đúng-lúc; tools.yaml giữ nguyên nên tools_hash bằng v0. LƯU Ý: v0 chạy gemini-3.5-flash còn v1 chạy gemini-flash-lite-latest vì model cũ hết hạn mức 20 request/ngày — chênh lệch v0→v1 lẫn tác động đổi model,Prompt cũ ép agent hành động ngay (cấm hỏi lại, bảo đoán handle/URL, bảo cứ gửi) nên fail 6/8 case; viết lại 3 quy tắc không-dùng-tool / hỏi-thay-vì-đoán / xác-nhận-trước-hành-động sẽ sửa được nhóm này,case_accuracy,0.6,0.75,runs/v1_B_base_gemini_20260729T132104802929.json
v1,Bùi Gia Uy,system_prompt.md,v1+p2df5c3a17f10+t6cdb53d5d7b8,2df5c3a17f10a54afa3b608b85a84a27485072af1d5bd054aaf55fcb40adf7a4,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Viết lại prompt theo hướng dừng-đúng-lúc (model gemini-flash-lite-latest),R10/R11 hết bịa screenname và URL sau khi prompt cấm đoán tham số,tool_routing_accuracy,0.65,0.95,runs/v1_B_base_gemini_20260729T132104802929.json
v1,Bùi Gia Uy,system_prompt.md,v1+p2df5c3a17f10+t6cdb53d5d7b8,2df5c3a17f10a54afa3b608b85a84a27485072af1d5bd054aaf55fcb40adf7a4,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Viết lại prompt theo hướng dừng-đúng-lúc (model gemini-flash-lite-latest),Args vẫn sai vì quy ước query/topic nằm ở tools.yaml chứ không phải prompt — để dành v3,argument_accuracy,0.6,0.75,runs/v1_B_base_gemini_20260729T132104802929.json
v1,Bùi Gia Uy,system_prompt.md,v1+p2df5c3a17f10+t6cdb53d5d7b8,2df5c3a17f10a54afa3b608b85a84a27485072af1d5bd054aaf55fcb40adf7a4,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Viết lại prompt theo hướng dừng-đúng-lúc (model gemini-flash-lite-latest),Multi-turn giảm do M02/M06 sai quy ước query/topic giống R03 — cùng gốc tools.yaml,multiturn_accuracy,1.0,0.6667,runs/v1_B_base_gemini_20260729T132104802929.json
v2,La Thị Thanh Tuyết,tools.yaml (thêm declaration dedupe),v2+p2df5c3a17f10+t1de264033aea,2df5c3a17f10a54afa3b608b85a84a27485072af1d5bd054aaf55fcb40adf7a4,1de264033aea4923b28f42bce48ad710ff860c9327a3bd471d0888d4636a6e50,Declare tool mới dedupe vào tools.yaml; prompt giữ nguyên nên prompt_hash bằng v1 — chênh lệch v1→v2 quy được về tools.yaml,Thêm declaration tool mới không làm hỏng routing sẵn có của base eval,case_accuracy,0.75,0.75,runs/v2_B_base_gemini_20260729T132300049147.json
v2,La Thị Thanh Tuyết,tools.yaml (thêm declaration dedupe),v2+p2df5c3a17f10+t1de264033aea,2df5c3a17f10a54afa3b608b85a84a27485072af1d5bd054aaf55fcb40adf7a4,1de264033aea4923b28f42bce48ad710ff860c9327a3bd471d0888d4636a6e50,Declare tool mới dedupe vào tools.yaml,Không case nào của base eval cần dedupe nên routing không đổi — đúng như dự đoán,tool_routing_accuracy,0.95,0.95,runs/v2_B_base_gemini_20260729T132300049147.json
